CODE,CENTER_LAT,CENTER_LON
5100042,0.038704287034407626,42.9653527050823
5100043,0.3734201961973024,43.625633558302
5100044,0.5000000000000018,44.5
5100045,0.5000000000000018,45.5
5100046,0.5000000000000018,46.5
5100047,0.5000000000000018,47.5
5100048,0.5000000000000018,48.5
5100049,0.5000000000000018,49.5
5100050,0.5000000000000018,50.5
5100051,0.5000000000000018,51.5
5100052,0.5000000000000018,52.5
5100053,0.5000000000000018,53.5
5100054,0.5000000000000018,54.5
5100055,0.5000000000000018,55.5
5100056,0.5000000000000018,56.5
5100057,0.5000000000000018,57.5
5100058,0.5000000000000018,58.5
5100059,0.5000000000000018,59.5
5100060,0.5000000000000018,60.5
5100061,0.5000000000000018,61.5
5100062,0.5000000000000018,62.5
5100063,0.5000000000000018,63.5
5100064,0.5000000000000018,64.5
5100065,0.5000000000000018,65.5
5100066,0.5000000000000018,66.5
5100067,0.5000000000000018,67.5
5100068,0.5000000000000018,68.5
5100069,0.5000000000000018,69.5
5100070,0.5000000000000018,70.5
5100071,0.5000000000000018,71.5
5100072,0.5000002452354422,72.49998055852576
5100073,0.500066501213248,73.50008180890065
5100074,0.5000000000000018,74.5
5100075,0.5000000000000018,75.5
5100076,0.5000000000000018,76.5
5100077,0.5000000000000018,77.5
5100078,0.5000000000000018,78.5
5100079,0.5000000000000018,79.5
5100080,0.5000000000000018,80.5
5100081,0.5000000000000018,81.5
5100082,0.5000000000000018,82.5
5100083,0.5000000000000018,83.5
5100084,0.5000000000000018,84.5
5100085,0.5000000000000018,85.5
5100086,0.5000000000000018,86.5
5100087,0.5000000000000018,87.5
5100088,0.5000000000000018,88.5
5100089,0.5000000000000018,89.5
5100090,0.5000000000000018,90.5
5100091,0.5000000000000018,91.5
5100092,0.5000000000000018,92.5
5100093,0.5000000000000018,93.5
5100094,0.5000000000000018,94.5
5100095,0.5000000000000018,95.5
5100096,0.5000000000000018,96.5
5100097,0.4494895783880418,97.46606094581868
5100098,0.507786284256117,98.49218942493496
5100099,0.21719348940739303,99.19902269103783
5101043,1.0227491418646526,43.973420958120485
5101044,1.2973261174699293,44.63108712165815
5101045,1.4899793007042832,45.508902052085254
5101046,1.5000000000000018,46.5
5101047,1.5000000000000018,47.5
5101048,1.5000000000000018,48.5
5101049,1.5000000000000018,49.5
5101050,1.5000000000000018,50.5
5101051,1.5000000000000018,51.5
5101052,1.5000000000000018,52.5
5101053,1.5000000000000018,53.5
5101054,1.5000000000000018,54.5
5101055,1.5000000000000018,55.5
5101056,1.5000000000000018,56.5
5101057,1.5000000000000018,57.5
5101058,1.5000000000000018,58.5
5101059,1.5000000000000018,59.5
5101060,1.5000000000000018,60.5
5101061,1.5000000000000018,61.5
5101062,1.5000000000000018,62.5
5101063,1.5000000000000018,63.5
5101064,1.5000000000000018,64.5
5101065,1.5000000000000018,65.5
5101066,1.5000000000000018,66.5
5101067,1.5000000000000018,67.5
5101068,1.5000000000000018,68.5
5101069,1.5000000000000018,69.5
5101070,1.5000000000000018,70.5
5101071,1.5000000000000018,71.5
5101072,1.5000000000000018,72.5
5101073,1.4996770017096597,73.5000590638481
5101074,1.5000000000000018,74.5
5101075,1.5000000000000018,75.5
5101076,1.5000000000000018,76.5
5101077,1.5000000000000018,77.5
5101078,1.5000000000000018,78.5
5101079,1.5000000000000018,79.5
5101080,1.5000000000000018,80.5
5101081,1.5000000000000018,81.5
5101082,1.5000000000000018,82.5
5101083,1.5000000000000018,83.5
5101084,1.5000000000000018,84.5
5101085,1.5000000000000018,85.5
5101086,1.5000000000000018,86.5
5101087,1.5000000000000018,87.5
5101088,1.5000000000000018,88.5
5101089,1.5000000000000018,89.5
5101090,1.5000000000000018,90.5
5101091,1.5000000000000018,91.5
5101092,1.5000000000000018,92.5
5101093,1.5000000000000018,93.5
5101094,1.5000000000000018,94.5
5101095,1.5000000000000018,95.5
5101096,1.5000000000000018,96.5
5101097,1.5687580211522971,97.50511212166968
5101098,1.454214461516688,98.39164285954537
5102045,2.137336670681307,45.76908169471852
